actor_id	first_name	last_name	film_info
1	Penelope	Guiness	Animation: Anaconda Confessions, Children: Language Cowboy, Classics: Color Philadelphia, Westward Seabiscuit, Comedy: Vertigo Northwest, Documentary: Academy Dinosaur, Family: King Evolution, Splash Gump, Foreign: Mulholland Beast, Games: Bulworth Commandments, Human Graffiti, Horror: Elephant Trojan, Lady Stage, Rules Human, Music: Wizard Coldblooded, New: Angels Life, Oklahoma Jumanji, Sci-Fi: Cheaper Clyde, Sports: Gleaming Jawbreaker
2	Nick	Wahlberg	Action: Bull Shawshank, Animation: Fight Jawbreaker, Children: Jersey Sassy, Classics: Dracula Crystal, Gilbert Pelican, Comedy: Mallrats United, Rushmore Mermaid, Documentary: Adaptation Holes, Drama: Wardrobe Phantom, Family: Apache Divine, Chisum Behavior, Indian Love, Maguire Apache, Foreign: Baby Hall, Happiness United, Games: Roof Champion, Music: Lucky Flying, New: Destiny Saturday, Flash Wars, Jekyll Frogmen, Mask Peach, Sci-Fi: Chainsaw Uptown, Goodfellas Salute, Travel: Liaisons Sweet, Smile Earring
3	Ed	Chase	Action: Caddyshack Jedi, Forrest Sons, Classics: Frost Head, Jeepers Wedding, Documentary: Army Flintstones, French Holiday, Halloween Nuts, Hunter Alter, Wedding Apollo, Young Language, Drama: Luck Opus, Necklace Outbreak, Spice Sorority, Foreign: Cowboy Doom, Whale Bikini, Music: Alone Trip, New: Eve Resurrection, Platoon Instinct, Sci-Fi: Weekend Personal, Sports: Artist Coldblooded, Image Princess, Travel: Boondock Ballroom
4	Jennifer	Davis	Action: Barefoot Manchurian, Animation: Anaconda Confessions, Ghostbusters Elf, Comedy: Submarine Bed, Documentary: Bed Highball, National Story, Raiders Antitrust, Drama: Blade Polish, Greedy Roots, Family: Splash Gump, Horror: Treasure Command, Music: Hanover Galaxy, Reds Pocus, New: Angels Life, Jumanji Blade, Oklahoma Jumanji, Sci-Fi: Random Go, Silverado Goldfinger, Unforgiven Zoolander, Sports: Instinct Airport, Poseidon Forever, Travel: Boondock Ballroom
5	Johnny	Lollobrigida	Action: Amadeus Holy, Grail Frankenstein, Rings Heartbreakers, Animation: Sunrise League, Children: Hall Cassidy, Comedy: Daddy Pittsburgh, Documentary: Bonnie Holocaust, Metal Armageddon, Pacific Amistad, Pocus Pulp, Drama: Chitty Lock, Coneheads Smoochy, Games: Fire Wolves, Horror: Commandments Express, Love Suicides, Patton Interview, Music: Banger Pinocchio, Heavenly Gun, New: Frontier Cabin, Ridgemont Submarine, Sci-Fi: Daisy Menagerie, Goodfellas Salute, Soldiers Evolution, Sports: Groove Fiction, Kramer Chocolate, Star Operation, Travel: Enough Raging, Escape Metropolis, Smile Earring
6	Bette	Nicholson	Action: Antitrust Tomatoes, Animation: Bikini Borrowers, Crossroads Casualties, Potluck Mixed, Titanic Boondock, Children: Language Cowboy, Classics: Beast Hunchback, Documentary: Coast Rainbow, Family: Bang Kwai, Foreign: Calendar Gunfight, Mulholland Beast, New: Wyoming Storm, Sci-Fi: Coldblooded Darling, Sports: Drop Waterfront, Kramer Chocolate, Lesson Cleopatra, Liberty Magnificent, Trading Pinocchio, Travel: Igby Maker, Speed Suit
7	Grace	Mostel	Action: Berets Agent, Excitement Eve, Animation: Sleepless Monsoon, Tracy Cider, Children: Warlock Werewolf, Classics: Malkovich Pet, October Submarine, Drama: Confessions Maguire, Deceiver Betrayed, Destination Jerk, Necklace Outbreak, Saints Bride, Savannah Town, Treatment Jekyll, Foreign: Command Darling, Hellfighters Sierra, Scissorhands Slums, Town Ark, War Notting, Games: Dazed Punk, Horror: Arachnophobia Rollercoaster, Gaslight Crusade, New: Angels Life, Breaking Home, Sleepy Japanese, Sting Personal, Sci-Fi: Open African, Sports: Anonymous Human, Instinct Airport, Poseidon Forever
8	Matthew	Johansson	Action: Campus Remember, Dances None, Animation: Sugar Wonka, Classics: Lights Deer, Malkovich Pet, Tomorrow Hustler, Drama: Conquerer Nuts, Hanging Deep, Scorpion Apollo, Family: Indian Love, Foreign: Baby Hall, School Jacket, Music: Clones Pinocchio, Driving Polish, Runner Madigan, Vanishing Rocky, New: Flash Wars, Sci-Fi: Crowds Telemark, Sports: Durham Panky, Loser Hustler
9	Joe	Swank	Action: Primary Glass, Waterfront Deliverance, Animation: Lawless Vision, Sunrise League, Children: Crooked Frogmen, Sweethearts Suspects, Ties Hunger, Classics: Snatchers Montezuma, Documentary: Majestic Floats, Pacific Amistad, Untouchables Sunrise, Drama: Dalmations Sweden, Lebowski Soldiers, Family: Chocolat Harry, Foreign: Chocolate Duck, Games: Curtain Videotape, Horror: Anything Savannah, Reef Salute, Music: Birch Antitrust, Runner Madigan, New: Wild Apollo, Sports: Perdition Fargo, Travel: Horror Reign, Smile Earring, Traffic Hobbit
10	Christian	Gable	Action: Lord Arizona, Waterfront Deliverance, Animation: Punk Divorce, Children: Crooked Frogmen, Classics: Jeepers Wedding, Prejudice Oleander, Comedy: Life Twisted, Documentary: Academy Dinosaur, Mod Secretary, Wedding Apollo, Drama: Goldfinger Sensibility, Foreign: Usual Untouchables, Games: Divine Resurrection, Horror: Alabama Devil, Reap Unfaithful, Music: Jawbreaker Brooklyn, Wizard Coldblooded, Won Dares, New: Dragonfly Strangers, Sci-Fi: Vacation Boondock, Sports: Shakespeare Saddle, Travel: Trouble Date
